11744,18047,28.098,85.576,28.124,85.605
11743,18045,28.098,85.518,28.124,85.547
11742,18041,28.124,85.576,28.15,85.605
11741,18040,28.124,85.547,28.15,85.576
11740,18038,28.124,85.488,28.15,85.518
11739,18037,28.124,85.459,28.15,85.488
11738,18036,28.124,85.43,28.15,85.459
11737,18035,27.839,85.576,27.865,85.605
11736,18034,27.839,85.547,27.865,85.576
11735,18033,27.839,85.518,27.865,85.547
11734,18032,27.839,85.488,27.865,85.518
11733,18031,27.839,85.459,27.865,85.488
11732,18030,27.839,85.43,27.865,85.459
11731,18029,27.865,85.576,27.891,85.605
11730,18028,27.865,85.547,27.891,85.576
11729,18027,27.865,85.518,27.891,85.547
11728,18026,27.865,85.488,27.891,85.518
11727,18025,27.865,85.459,27.891,85.488
11726,18024,27.865,85.43,27.891,85.459
11725,18023,27.891,85.576,27.917,85.605
11724,18022,27.891,85.547,27.917,85.576
11723,18021,27.891,85.518,27.917,85.547
11722,18020,27.891,85.488,27.917,85.518
11721,18019,27.891,85.459,27.917,85.488
11720,18018,27.891,85.43,27.917,85.459
11719,18017,27.917,85.576,27.943,85.605
11718,18016,27.917,85.547,27.943,85.576
11717,18015,27.917,85.518,27.943,85.547
11716,18014,27.917,85.488,27.943,85.518
11715,18013,27.917,85.459,27.943,85.488
11714,18012,27.917,85.43,27.943,85.459
11713,18011,27.943,85.576,27.969,85.605
11712,18010,27.943,85.547,27.969,85.576
11711,18009,27.943,85.518,27.969,85.547
11710,18008,27.943,85.488,27.969,85.518
11709,18007,27.943,85.459,27.969,85.488
11708,18006,27.943,85.43,27.969,85.459
11707,18005,27.969,85.576,27.994,85.605
11706,18004,27.969,85.547,27.994,85.576
11705,18003,27.969,85.518,27.994,85.547
11704,18002,27.969,85.488,27.994,85.518
11703,18001,27.969,85.459,27.994,85.488
11702,18000,27.969,85.43,27.994,85.459
11701,17999,27.684,85.576,27.709,85.605
11700,17998,27.684,85.547,27.709,85.576
11699,17997,27.684,85.518,27.709,85.547
11698,17996,27.684,85.488,27.709,85.518
11697,17995,27.684,85.459,27.709,85.488
11696,17994,27.684,85.43,27.709,85.459
11695,17993,27.709,85.576,27.735,85.605
11694,17992,27.709,85.547,27.735,85.576
11674,17972,27.787,85.488,27.813,85.518
11673,17971,27.787,85.459,27.813,85.488
11672,17970,27.787,85.43,27.813,85.459
11671,17969,27.813,85.576,27.839,85.605
11670,17968,27.813,85.547,27.839,85.576
11669,17967,27.813,85.518,27.839,85.547
11668,17966,27.813,85.488,27.839,85.518
11667,17965,27.813,85.459,27.839,85.488
11666,17964,27.813,85.43,27.839,85.459
11665,17963,27.528,85.576,27.554,85.605
11664,17959,27.528,85.459,27.554,85.488
11663,17958,27.528,85.43,27.554,85.459
11662,17957,27.554,85.576,27.58,85.605
11661,17956,27.554,85.547,27.58,85.576
11660,17955,27.554,85.518,27.58,85.547
11659,17954,27.554,85.488,27.58,85.518
11658,17953,27.554,85.459,27.58,85.488
11657,17952,27.554,85.43,27.58,85.459
11656,17951,27.58,85.576,27.606,85.605
11655,17950,27.58,85.547,27.606,85.576
11654,17949,27.58,85.518,27.606,85.547
11653,17948,27.58,85.488,27.606,85.518
11652,17947,27.58,85.459,27.606,85.488
11651,17946,27.58,85.43,27.606,85.459
11650,17945,27.606,85.576,27.632,85.605
11649,17944,27.606,85.547,27.632,85.576
11648,17943,27.606,85.518,27.632,85.547
11647,17942,27.606,85.488,27.632,85.518
11646,17941,27.606,85.459,27.632,85.488
11645,17940,27.606,85.43,27.632,85.459
11644,17939,27.632,85.576,27.658,85.605
11643,17938,27.632,85.547,27.658,85.576
11642,17937,27.632,85.518,27.658,85.547
11641,17936,27.632,85.488,27.658,85.518
11640,17935,27.632,85.459,27.658,85.488
11639,17934,27.632,85.43,27.658,85.459
11638,17933,27.658,85.576,27.684,85.605
11637,17932,27.658,85.547,27.684,85.576
11636,17931,27.658,85.518,27.684,85.547
11635,17930,27.658,85.488,27.684,85.518
11634,17929,27.658,85.459,27.684,85.488
11633,17928,27.658,85.43,27.684,85.459
11632,17923,27.372,85.459,27.398,85.488
11631,17922,27.372,85.43,27.398,85.459
11630,17918,27.398,85.488,27.424,85.518
11629,17917,27.398,85.459,27.424,85.488
11628,17916,27.398,85.43,27.424,85.459
11627,17913,27.424,85.518,27.45,85.547
11626,17912,27.424,85.488,27.45,85.518
11625,17911,27.424,85.459,27.45,85.488
11624,17910,27.424,85.43,27.45,85.459
11623,17907,27.45,85.518,27.476,85.547
11622,17906,27.45,85.488,27.476,85.518
11621,17905,27.45,85.459,27.476,85.488
11620,17904,27.45,85.43,27.476,85.459
11619,17903,27.476,85.576,27.502,85.605
11618,17902,27.476,85.547,27.502,85.576
11617,17901,27.476,85.518,27.502,85.547
11616,17900,27.476,85.488,27.502,85.518
11615,17899,27.476,85.459,27.502,85.488
11614,17898,27.476,85.43,27.502,85.459
11613,17897,27.502,85.576,27.528,85.605
11612,17896,27.502,85.547,27.528,85.576
11611,17895,27.502,85.518,27.528,85.547
11610,17893,27.502,85.459,27.528,85.488
11609,17892,27.502,85.43,27.528,85.459
11608,17531,27.994,85.4,28.02,85.43
11607,17530,27.994,85.371,28.02,85.4
11606,17529,27.994,85.342,28.02,85.371
11605,17528,27.994,85.313,28.02,85.342
11604,17527,27.994,85.283,28.02,85.313
11603,17526,27.994,85.254,28.02,85.283
11602,17525,28.02,85.4,28.046,85.43
11601,17524,28.02,85.371,28.046,85.4
11600,17523,28.02,85.342,28.046,85.371
11599,17522,28.02,85.313,28.046,85.342
11598,17521,28.02,85.283,28.046,85.313
11597,17520,28.02,85.254,28.046,85.283
11596,17518,28.046,85.371,28.072,85.4
11595,17517,28.046,85.342,28.072,85.371
11594,17516,28.046,85.313,28.072,85.342
11593,17515,28.046,85.283,28.072,85.313
11592,17514,28.046,85.254,28.072,85.283
11591,17512,28.072,85.371,28.098,85.4
11590,17511,28.072,85.342,28.098,85.371
11589,17510,28.072,85.313,28.098,85.342
11588,17509,28.072,85.283,28.098,85.313
11587,17508,28.072,85.254,28.098,85.283
11586,17507,28.098,85.4,28.124,85.43
11585,17506,28.098,85.371,28.124,85.4
11584,17505,28.098,85.342,28.124,85.371
11583,17504,28.098,85.313,28.124,85.342
11582,17503,28.098,85.283,28.124,85.313
11581,17502,28.098,85.254,28.124,85.283
11580,17501,28.124,85.4,28.15,85.43
11579,17500,28.124,85.371,28.15,85.4
11578,17499,28.124,85.342,28.15,85.371
11577,17498,28.124,85.313,28.15,85.342
11576,17497,28.124,85.283,28.15,85.313
11575,17496,28.124,85.254,28.15,85.283
11574,17495,27.839,85.4,27.865,85.43
11573,17494,27.839,85.371,27.865,85.4
11572,17493,27.839,85.342,27.865,85.371
11571,17492,27.839,85.313,27.865,85.342
11570,17491,27.839,85.283,27.865,85.313
11569,17490,27.839,85.254,27.865,85.283
11568,17489,27.865,85.4,27.891,85.43
11567,17488,27.865,85.371,27.891,85.4
11566,17487,27.865,85.342,27.891,85.371
11565,17486,27.865,85.313,27.891,85.342
11564,17485,27.865,85.283,27.891,85.313
11563,17484,27.865,85.254,27.891,85.283
11562,17483,27.891,85.4,27.917,85.43
11561,17482,27.891,85.371,27.917,85.4
11560,17481,27.891,85.342,27.917,85.371
11559,17480,27.891,85.313,27.917,85.342
11558,17479,27.891,85.283,27.917,85.313
