user_id,user_ip,workflow_id,created_at,gold_standard,expert,metadata,annotations,subject_data
1845,90.56.25.250,945,2015-05-01 10:54:59 UTC,,,"{""started_at"":""2015-05-01T10:52:32.539Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T10:54:57.707Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":2}]","{""5745"":{""maxx"":-7194864.597422,""maxy"":-2974317.6442130003,""minx"":-7197922.0785529995,""miny"":-2976610.755061,""img_index"":1,""tilename_jpg"":""L15-0651E-0864N_001_034.jpg""}}"
,148.197.129.231,945,2015-05-01 10:55:03 UTC,,,"{""started_at"":""2015-05-01T10:54:33.687Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:37.0) Gecko/20100101 Firefox/37.0"",""finished_at"":""2015-05-01T10:55:03.718Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":1}]","{""5898"":{""maxx"":-7231554.3709929995,""maxy"":-3024766.082874,""minx"":-7234611.852124001,""miny"":-3027059.1937220003,""img_index"":392,""tilename_jpg"":""L15-0651E-0864N_023_022.jpg""}}"
,148.197.129.231,945,2015-05-01 10:55:07 UTC,,,"{""started_at"":""2015-05-01T10:55:05.104Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:37.0) Gecko/20100101 Firefox/37.0"",""finished_at"":""2015-05-01T10:55:07.478Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":2}]","{""6054"":{""maxx"":-7246841.776648,""maxy"":-3054576.5239009997,""minx"":-7249899.257778999,""miny"":-3056869.63475,""img_index"":544,""tilename_jpg"":""L15-0651E-0864N_036_017.jpg""}}"
1845,90.56.25.250,945,2015-05-01 10:55:09 UTC,,,"{""started_at"":""2015-05-01T10:54:59.160Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T10:55:09.436Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":2}]","{""5746"":{""maxx"":-7191807.1162910005,""maxy"":-2974317.6442130003,""minx"":-7194864.597422,""miny"":-2976610.755061,""img_index"":2,""tilename_jpg"":""L15-0651E-0864N_001_035.jpg""}}"
1845,90.56.25.250,945,2015-05-01 10:55:12 UTC,,,"{""started_at"":""2015-05-01T10:55:10.285Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T10:55:12.980Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":2}]","{""5748"":{""maxx"":-7185692.154029,""maxy"":-2974317.6442130003,""minx"":-7188749.635160001,""miny"":-2976610.755061,""img_index"":4,""tilename_jpg"":""L15-0651E-0864N_001_037.jpg""}}"
1845,90.56.25.250,945,2015-05-01 10:55:15 UTC,,,"{""started_at"":""2015-05-01T10:55:13.845Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T10:55:15.969Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":2}]","{""5749"":{""maxx"":-7182634.672897999,""maxy"":-2974317.6442130003,""minx"":-7185692.154029,""miny"":-2976610.755061,""img_index"":5,""tilename_jpg"":""L15-0651E-0864N_001_038.jpg""}}"
,148.197.129.231,945,2015-05-01 10:55:26 UTC,,,"{""started_at"":""2015-05-01T10:55:08.838Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:37.0) Gecko/20100101 Firefox/37.0"",""finished_at"":""2015-05-01T10:55:26.328Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":1}]","{""6070"":{""maxx"":-7256014.220041,""maxy"":-3059162.745598,""minx"":-7259071.701172,""miny"":-3061455.856446,""img_index"":569,""tilename_jpg"":""L15-0651E-0864N_038_014.jpg""}}"
,148.197.129.231,945,2015-05-01 10:55:33 UTC,,,"{""started_at"":""2015-05-01T10:55:27.534Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:37.0) Gecko/20100101 Firefox/37.0"",""finished_at"":""2015-05-01T10:55:34.016Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":1}]","{""6105"":{""maxx"":-7256014.220041,""maxy"":-3068335.188991,""minx"":-7259071.701172,""miny"":-3070628.2998389998,""img_index"":625,""tilename_jpg"":""L15-0651E-0864N_042_014.jpg""}}"
1845,90.56.25.250,945,2015-05-01 10:58:08 UTC,,,"{""started_at"":""2015-05-01T10:55:16.841Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T10:58:08.359Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":0},{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":1}]","{""5750"":{""maxx"":-7167347.267242999,""maxy"":-2974317.6442130003,""minx"":-7170404.748374,""miny"":-2976610.755061,""img_index"":10,""tilename_jpg"":""L15-0651E-0864N_001_043.jpg""}}"
,129.67.95.189,945,2015-05-01 11:27:48 UTC,,,"{""started_at"":""2015-05-01T11:27:19.587Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:27:48.193Z"",""user_language"":""en"",""workflow_version"":""13043.12989""}","[{""task"":""T1"",""value"":5}]","{""5886"":{""maxx"":-7216266.965338,""maxy"":-3020179.861178,""minx"":-7219324.446469001,""miny"":-3022472.972026,""img_index"":357,""tilename_jpg"":""L15-0651E-0864N_021_027.jpg""}}"
