light_curve_id,kind,zooniverse_id,p_radius,p_period
639469,3,APH10419586,2.88,4.79
639470,3,APH10821411,2.06,7.68
639471,3,APH10817927,10.03,10.53
639472,3,APH10299576,2.72,8.85
639473,3,APH10638432,6.87,12.03
639474,3,APH10523565,3.6,8.57
639475,3,APH10367449,10.71,4.28
639476,3,APH10377671,3.59,2.46
639477,3,APH10903375,6.62,6.13
639478,3,APH10552082,2.79,1.88
639479,3,APH10786380,4,12.04
639480,3,APH10413493,10.27,4.13
639481,3,APH10510463,2.65,0.73
639482,3,APH10313576,5.06,12.96
639483,3,APH10441326,5.21,2.42
639484,3,APH10201557,4,3.06
639485,3,APH10889605,5.27,4.23
639486,3,APH10767875,7.05,4.96
639487,3,APH10887951,8.64,8.18
639488,3,APH10706498,3,3.36
639489,3,APH10870301,3.31,1.6
639490,3,APH10974895,4.63,7.18
639491,3,APH10467591,4.16,6.99
639492,3,APH10770285,2.61,0.84
639493,3,APH10483008,10.7,11.13
639494,3,APH10879701,12.86,7.34
639495,3,APH10304840,5.14,8.27
639496,3,APH10580263,4.56,9.76
639497,3,APH10242902,3.35,1.55
639498,3,APH10940091,2.48,4.51
639499,3,APH10568877,6.79,8.6
639500,3,APH10551047,2.81,4.56
639501,3,APH10204074,2.97,13.87
639502,3,APH10505622,13.58,4.79
639503,3,APH10215068,3.59,1.87
639504,3,APH10260334,2.18,7.7
639505,3,APH10975291,2.9,2.3
639506,3,APH10359748,3.34,8.09
639507,3,APH10979576,8.91,1.91
639508,3,APH10284490,3.44,7.3
639509,3,APH10943606,9.83,7.87
639510,3,APH10710101,6.52,9.19
639511,3,APH10400270,2.38,9.01
639512,3,APH10931514,6.76,3.96
639513,3,APH10815641,5.37,5.43
639514,3,APH10781340,4.57,2.26
639515,3,APH10890058,2.75,5.22
639516,3,APH10796838,2.25,7.63
639517,3,APH10573964,6.01,2.58
639518,3,APH10205099,3.86,3.62
639519,3,APH10522295,6.78,1.92
639520,3,APH10747480,5.84,3.32
639521,3,APH10368059,12.85,10.86
639522,3,APH10767717,9.88,2.84
639523,3,APH10412025,3.25,7.6
639524,3,APH10580356,3.25,3.28
639525,3,APH10724669,3.83,1.14
639526,3,APH10280518,4.66,4.16
639527,3,APH10193355,12,8.99
